CPU_COUNT,TIME_MS,NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
4,625,15,1,false,49219,103,2;3;5;5;77;100;
4,641,15,1,false,48803,84,3;1;1;13;21;27;100;
4,281,15,1,false,49404,128,2;16;2;7;91;100;
4,187,15,1,false,48218,39,2;6;16;7;100;
4,172,15,1,false,50084,38,1;1;9;1;4;14;100;
4,249,15,1,false,49580,111,4;2;2;4;10;4;75;100;
4,156,15,1,false,47603,25,1;2;5;4;3;100;
4,235,15,1,false,48717,100,2;1;2;1;2;42;1;37;100;
4,156,15,1,false,51755,26,3;3;4;4;1;100;
4,297,15,1,false,49555,113,4;2;17;1;9;15;8;31;3;7;100;
4,437,15,6,false,45114,197,2;14;23;27;46;39;32;100;
4,235,15,6,false,47071,54,2;3;3;21;16;100;
4,344,15,6,false,46107,130,1;2;62;56;100;
4,593,15,6,false,46281,275,1;1;1;20;24;60;34;45;76;100;
4,219,15,6,false,47334,50,1;4;4;19;11;100;
4,344,15,6,false,45776,148,1;1;1;1;19;15;2;41;53;100;
4,219,15,6,false,47276,49,1;2;22;14;100;
4,297,15,6,false,46907,115,1;1;18;86;100;
4,234,15,6,false,46950,57,1;12;1;33;100;
4,359,15,6,false,46683,155,1;2;22;6;17;48;45;100;
4,407,15,11,false,46852,158,1;2;7;2;81;52;100;
4,328,15,11,false,45103,119,1;5;12;28;60;100;
4,203,15,11,false,46067,21,1;1;6;1;1;100;
4,203,15,11,false,46894,33,11;12;100;
4,219,15,11,false,47026,39,1;3;5;4;2;12;1;100;
4,203,15,11,false,46758,31,1;1;7;11;100;
4,188,15,11,false,47827,17,1;2;1;100;
4,235,15,11,false,45846,56,1;2;18;18;5;100;
4,265,15,11,false,45952,59,1;3;3;3;14;15;8;100;
4,328,15,11,false,45256,116,1;3;9;7;2;8;11;59;100;
4,188,15,16,false,46841,9,2;100;
4,328,15,16,false,47094,68,1;1;2;6;7;32;3;100;
4,406,15,16,false,46271,162,1;3;2;28;67;49;100;
4,250,15,16,false,46114,45,1;1;4;10;7;11;100;
4,313,15,16,false,46810,95,1;3;66;16;100;
4,344,15,16,false,46801,109,1;18;15;54;8;100;
4,250,15,16,false,45132,50,2;1;1;34;100;
4,313,15,16,false,46199,101,1;4;22;62;100;
4,375,15,16,false,46440,131,1;1;1;5;2;8;6;92;100;
4,359,15,16,false,46699,130,2;1;5;2;89;2;16;100;
4,219,15,21,false,46517,18,2;1;5;1;100;
4,406,15,21,false,45663,141,9;2;6;7;1;15;54;9;13;6;100;
4,360,15,21,false,46360,107,1;3;1;25;1;13;46;2;100;
4,219,15,21,false,47091,20,1;8;100;
4,593,15,21,false,46116,236,1;3;10;17;76;47;66;100;
4,297,15,21,false,46349,69,1;1;1;30;3;14;7;100;
4,376,15,21,false,45888,120,2;1;1;6;13;1;84;100;
4,203,15,21,false,45734,12,2;100;
4,406,15,21,false,45243,128,1;2;15;16;6;3;37;1;2;29;100;
4,219,15,21,false,47145,29,1;1;5;13;100;
4,297,15,26,false,45160,63,1;4;1;14;11;20;100;
4,563,15,26,false,45385,189,11;1;97;7;61;100;
4,234,15,26,false,46233,19,1;4;1;100;
4,360,15,26,false,44761,93,4;13;27;36;100;
4,250,15,26,false,44971,32,2;2;17;100;
4,266,15,26,false,46493,38,8;18;100;
4,703,15,26,false,45018,273,4;30;54;76;77;17;100;
4,360,15,26,false,46187,53,2;7;12;1;10;10;100;
4,297,15,26,false,45584,54,1;1;10;9;11;12;100;
4,343,15,26,false,46309,70,1;1;1;1;1;1;15;37;100;
4,983,15,31,false,44686,398,5;2;17;6;40;19;79;79;45;17;72;100;
4,438,15,31,false,45301,125,1;4;83;19;2;100;
4,281,15,31,false,46267,43,1;2;14;13;100;
4,360,15,31,false,45678,73,4;2;57;100;
4,484,15,31,false,45903,152,2;24;29;16;68;100;
4,469,15,31,false,45808,145,9;1;9;6;21;7;75;100;
4,281,15,31,false,45388,32,1;5;15;100;
4,641,15,31,false,44646,227,1;2;25;99;88;100;
4,375,15,31,false,45807,93,2;15;35;24;5;100;
4,516,15,31,false,45381,154,1;1;10;56;17;50;6;100;
4,500,15,36,false,45566,141,1;12;19;96;100;
4,797,15,36,false,45666,257,1;1;2;11;1;31;17;2;48;70;25;32;100;
4,406,15,36,false,44753,65,1;35;1;16;100;
4,406,15,36,false,45031,96,1;1;78;5;100;
4,703,15,36,false,45136,235,1;5;86;37;32;64;100;
4,610,15,36,false,45697,188,2;5;14;8;8;9;22;20;83;100;
4,344,15,36,false,45193,64,1;21;31;100;
4,469,15,36,false,45403,121,1;1;9;19;12;43;21;100;
4,328,15,36,false,45385,53,1;1;2;2;7;29;100;
4,532,15,36,false,45897,155,3;2;2;5;78;51;100;
4,296,15,41,false,46259,28,1;16;100;
4,266,15,41,false,46119,13,1;2;100;
4,547,15,41,false,45174,148,1;1;1;2;10;1;3;5;8;48;52;100;
4,500,15,41,false,45884,122,3;3;52;50;100;
4,344,15,41,false,46340,56,1;1;1;12;9;19;100;
4,281,15,41,false,45983,23,1;3;5;5;100;
4,610,15,41,false,45876,170,1;1;2;3;6;14;11;2;2;1;1;38;28;41;100;
4,407,15,41,false,45881,76,1;3;5;9;48;100;
4,516,15,41,false,46089,134,5;43;77;100;
4,562,15,41,false,45250,155,1;2;1;20;32;42;48;100;
4,1110,15,46,false,44503,340,1;1;2;6;1;2;1;27;7;1;74;21;99;39;11;23;100;
4,484,15,46,false,45616,104,1;1;1;43;1;43;100;
4,403,15,46,false,44431,66,1;1;1;3;36;8;1;100;
4,343,15,46,false,44487,41,2;15;3;9;100;
4,454,15,46,false,44397,93,2;3;47;28;100;
4,687,15,46,false,45133,192,1;1;2;1;34;88;32;2;17;100;
4,391,15,46,false,45709,58,16;31;100;
4,312,15,46,false,45862,32,1;4;8;9;100;
4,407,15,46,false,45777,65,4;26;24;100;
4,421,15,46,false,45288,81,1;15;57;100;
4,297,15,51,false,45220,14,1;2;100;
4,391,15,51,false,45651,49,3;2;33;100;
4,563,15,51,false,45646,128,27;31;58;100;
4,531,15,51,false,45234,105,1;59;3;28;100;
4,469,15,51,false,45152,85,1;1;5;12;4;30;17;100;
4,688,15,51,false,44699,175,5;39;13;27;78;100;
4,484,15,51,false,45537,95,1;1;4;11;24;40;100;
4,1032,15,51,false,44604,310,1;1;1;63;45;26;16;53;8;40;3;34;100;
4,328,15,51,false,45576,30,1;16;100;
4,594,15,51,false,45475,136,1;1;4;33;85;100;
4,484,15,56,false,44842,81,1;1;6;4;9;23;25;100;
4,891,15,56,false,45409,237,2;14;5;6;1;67;95;33;100;
4,703,15,56,false,45759,161,3;7;19;6;82;29;100;
4,516,15,56,false,45935,94,1;1;39;32;8;100;
