CPU_COUNT,TIME_MS,NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
16,175,15,1,true,41755,31,3;7;12;100;
16,214,15,1,true,41908,84,10;17;49;2;100;
16,199,15,1,true,41771,72,2;1;1;2;10;4;11;6;24;100;
16,214,15,1,true,41394,86,1;15;16;10;37;100;
16,144,15,1,true,42091,20,4;12;100;
16,210,15,1,true,41745,82,11;5;61;100;
16,309,15,1,true,41599,173,1;18;7;7;41;12;16;10;49;100;
16,271,15,1,true,41541,141,2;1;18;41;72;100;
16,221,15,1,true,41613,93,1;1;26;57;1;100;
16,162,15,1,true,42108,37,1;3;3;18;4;100;
16,171,15,6,true,41428,33,6;1;21;100;
16,245,15,6,true,41435,98,3;4;49;36;100;
16,157,15,6,true,41196,21,2;1;2;8;100;
16,353,15,6,true,41597,186,1;3;36;37;23;78;100;
16,136,15,6,true,41708,3,1;100;
16,144,15,6,true,41734,10,1;1;2;100;
16,163,15,6,true,41147,27,1;20;100;
16,153,15,6,true,41463,18,1;14;100;
16,179,15,6,true,41640,40,1;4;28;100;
16,170,15,6,true,41497,33,2;1;2;1;8;11;100;
16,259,15,11,true,41607,106,2;1;20;74;100;
16,257,15,11,true,41521,105,2;2;2;1;53;35;100;
16,250,15,11,true,41444,98,2;90;100;
16,316,15,11,true,41488,154,11;6;31;72;28;100;
16,168,15,11,true,41577,28,6;2;16;100;
16,244,15,11,true,41430,93,1;1;2;83;100;
16,283,15,11,true,41584,128,5;12;1;30;30;40;100;
16,328,15,11,true,41336,163,1;1;6;14;94;27;11;100;
16,156,15,11,true,41562,18,1;1;5;4;100;
16,228,15,11,true,41402,77,1;4;34;31;100;
16,254,15,16,true,41397,95,2;1;2;30;26;10;16;100;
16,202,15,16,true,41214,53,1;1;24;18;2;100;
16,430,15,16,true,41188,232,1;8;9;7;10;60;55;6;65;100;
16,322,15,16,true,41452,153,1;9;39;98;100;
16,163,15,16,true,41476,16,1;2;2;1;2;100;
16,263,15,16,true,41437,97,1;2;57;30;100;
16,185,15,16,true,41536,34,1;2;3;21;100;
16,181,15,16,true,41373,29,4;2;1;17;100;
16,167,15,16,true,41576,19,2;13;100;
16,335,15,16,true,41403,154,5;4;4;24;5;47;5;48;100;
16,336,15,21,true,41151,143,1;6;18;31;73;6;100;
16,295,15,21,true,41353,112,33;76;100;
16,241,15,21,true,41163,72,1;6;1;33;23;100;
16,220,15,21,true,41377,55,3;2;6;36;100;
16,173,15,21,true,41329,17,1;9;100;
16,433,15,21,true,41471,212,1;22;6;4;61;52;52;100;
16,188,15,21,true,41438,31,2;3;21;100;
16,163,15,21,true,41226,11,2;2;1;1;100;
16,420,15,21,true,41258,202,2;24;25;64;75;100;
16,386,15,21,true,41530,179,5;2;79;29;40;17;100;
16,166,15,26,true,41464,12,2;3;3;100;
16,318,15,26,true,41452,128,3;1;34;9;37;9;26;100;
16,259,15,26,true,41432,83,6;8;11;6;43;100;
16,190,15,26,true,41378,30,1;19;4;100;
16,284,15,26,true,41556,101,3;1;92;100;
16,337,15,26,true,41420,142,10;61;66;100;
16,187,15,26,true,41537,28,1;1;21;100;
16,325,15,26,true,41324,133,1;12;10;21;81;100;
16,368,15,26,true,41212,162,1;5;6;23;98;17;1;100;
16,247,15,26,true,41406,72,1;5;1;9;49;100;
16,234,15,31,true,41128,61,5;8;41;100;
16,269,15,31,true,41310,87,1;2;8;3;1;19;41;100;
16,179,15,31,true,41292,20,2;1;13;100;
16,195,15,31,true,41385,32,2;3;21;100;
16,256,15,31,true,41301,77,2;9;18;31;10;100;
16,189,15,31,true,41443,27,1;12;8;100;
16,258,15,31,true,41217,80,1;10;59;2;100;
16,213,15,31,true,41373,45,1;1;1;2;4;1;27;100;
16,185,15,31,true,41412,25,5;6;7;100;
16,278,15,31,true,41201,93,3;10;15;6;5;7;38;100;
16,197,15,36,true,41532,25,1;1;1;17;100;
16,268,15,36,true,41269,74,2;1;17;8;37;100;
16,173,15,36,true,41081,8,2;3;100;
16,354,15,36,true,41376,133,1;3;27;96;100;
16,192,15,36,true,41645,21,9;8;100;
16,266,15,36,true,41283,73,1;1;7;3;23;30;100;
16,193,15,36,true,41403,22,1;1;10;1;1;100;
16,277,15,36,true,41178,80,3;1;3;6;14;11;33;100;
16,392,15,36,true,41440,158,3;43;57;48;100;
16,403,15,36,true,40957,167,1;2;17;1;14;79;44;100;
16,210,15,41,true,41476,31,8;20;100;
16,241,15,41,true,41384,51,9;17;20;100;
16,251,15,41,true,41288,59,2;3;7;1;10;16;11;100;
16,270,15,41,true,41450,72,2;2;30;3;28;100;
16,349,15,41,true,41345,118,1;3;3;13;26;61;2;100;
16,229,15,41,true,41309,44,3;3;5;27;100;
16,237,15,41,true,41545,50,1;3;8;6;22;100;
16,327,15,41,true,41254,111,1;3;16;24;8;51;100;
16,282,15,41,true,41454,78,1;3;2;4;3;3;51;100;
16,260,15,41,true,41360,65,1;6;4;46;100;
16,249,15,46,true,41482,56,3;37;11;100;
16,217,15,46,true,41541,33,1;27;100;
16,196,15,46,true,41298,20,1;12;100;
16,235,15,46,true,41213,46,1;2;2;33;100;
16,303,15,46,true,41232,93,1;5;16;28;36;100;
16,332,15,46,true,41171,103,5;2;1;33;32;22;100;
16,355,15,46,true,41307,119,1;1;21;31;57;100;
16,194,15,46,true,41507,17,1;2;8;100;
16,215,15,46,true,41299,30,2;1;3;10;6;100;
16,217,15,46,true,41478,34,2;8;1;18;100;
16,473,15,51,true,41340,186,3;8;8;5;19;85;49;100;
16,310,15,51,true,41303,85,1;3;53;20;100;
16,335,15,51,true,41492,101,4;7;84;100;
16,298,15,51,true,41284,76,2;2;2;2;5;8;46;100;
16,210,15,51,true,41345,21,2;4;1;7;100;
16,418,15,51,true,41170,151,3;9;6;3;13;39;67;100;
16,363,15,51,true,41140,114,2;1;2;2;46;40;11;100;
16,267,15,51,true,41281,56,3;4;15;26;100;
16,352,15,51,true,41410,110,2;12;88;100;
16,242,15,51,true,41161,43,10;4;6;18;100;
16,356,15,56,true,41166,111,3;3;5;20;19;20;31;100;
16,521,15,56,true,41243,206,1;20;43;37;95;100;
16,304,15,56,true,41210,78,9;1;23;39;100;
16,314,15,56,true,41277,84,11;3;19;1;40;100;
16,202,15,56,true,41323,14,4;7;100;
16,289,15,56,true,41045,67,1;2;5;13;4;6;28;100;
16,220,15,56,true,41380,25,2;19;100;
16,478,15,56,true,41375,183,2;2;32;60;81;100;
16,334,15,56,true,41296,96,1;14;28;45;100;
16,204,15,56,true,41273,15,5;6;100;
16,367,15,61,true,41223,106,2;10;15;53;20;100;
16,502,15,61,true,41144,185,1;1;6;1;3;13;16;26;50;57;100;
16,323,15,61,true,41293,80,3;3;2;10;55;100;
16,342,15,61,true,41133,92,2;4;5;3;70;100;
16,233,15,61,true,40925,26,1;3;16;100;
16,483,15,61,true,41050,174,6;14;3;29;23;26;60;3;100;
16,236,15,61,true,41234,32,5;6;16;100;
16,315,15,61,true,41249,82,2;1;75;100;
16,219,15,61,true,41150,23,1;5;1;7;1;100;
16,317,15,61,true,41388,78,75;100;
16,517,15,66,true,41063,183,1;6;3;4;12;2;7;66;71;100;
16,452,15,66,true,41122,150,2;11;11;1;21;97;100;
16,377,15,66,true,41337,107,5;22;31;40;100;
16,389,15,66,true,41159,117,4;2;59;17;25;100;
16,290,15,66,true,41389,59,1;1;8;13;7;19;100;
16,380,15,66,true,41129,112,3;5;1;6;87;100;
16,205,15,66,true,41223,9,1;2;1;100;
16,229,15,66,true,41438,23,3;1;2;9;100;
16,513,15,66,true,41290,187,2;12;12;21;37;94;100;
16,249,15,66,true,40901,35,2;3;2;1;13;6;100;
16,416,15,71,true,41237,126,2;51;19;1;26;20;100;
16,375,15,71,true,41171,104,1;10;55;30;100;
16,342,15,71,true,41117,84,1;3;7;64;100;
16,205,15,71,true,41160,7,2;100;
16,399,15,71,true,41151,117,1;1;2;12;8;37;47;100;
16,377,15,71,true,41195,105,1;3;3;13;79;100;
16,425,15,71,true,41280,132,1;3;7;4;12;18;31;45;100;
16,247,15,71,true,41535,31,2;1;4;19;100;
16,268,15,71,true,41324,41,3;1;3;27;100;
16,321,15,71,true,41156,73,3;66;100;
16,225,15,76,true,41225,16,2;3;2;3;100;
16,434,15,76,true,41309,135,2;1;5;3;9;82;21;100;
16,238,15,76,true,41398,23,1;3;14;100;
16,406,15,76,true,41265,119,5;25;6;22;54;100;
16,393,15,76,true,41181,112,1;2;21;37;37;100;
16,296,15,76,true,41320,57,3;4;39;2;3;100;
16,320,15,76,true,41187,70,1;5;1;35;18;100;
16,896,15,76,true,41092,383,1;2;3;3;65;57;81;76;82;100;
16,354,15,76,true,41275,82,2;2;30;42;100;
16,336,15,76,true,41464,80,2;2;18;2;23;23;100;
16,955,15,81,true,41103,398,2;9;16;9;51;53;12;86;92;52;100;
16,528,15,81,true,41162,174,1;1;28;2;11;60;61;100;
16,290,15,81,true,41160,48,1;1;1;1;1;16;19;100;
16,255,15,81,true,41214,28,2;18;100;
16,255,15,81,true,41339,29,1;1;2;5;10;100;
16,609,15,81,true,41178,219,3;2;1;34;27;95;47;100;
16,405,15,81,true,41248,111,3;21;49;29;100;
16,251,15,81,true,41391,27,1;18;100;
16,338,15,81,true,41341,74,1;2;5;3;28;26;100;
16,285,15,81,true,41202,46,2;3;19;16;100;
16,534,15,86,true,41146,171,1;2;3;9;32;62;52;100;
16,479,15,86,true,41124,144,1;1;1;1;3;33;11;81;100;
16,369,15,86,true,41163,85,2;2;1;25;22;23;100;
16,232,15,86,true,41174,13,1;2;4;100;
16,351,15,86,true,41380,76,5;2;9;38;13;100;
16,256,15,86,true,41139,26,2;2;17;100;
16,473,15,86,true,41328,140,3;1;7;3;99;20;100;
16,417,15,86,true,41269,108,25;76;100;
16,477,15,86,true,41235,140,11;7;1;5;3;21;49;33;100;
16,226,15,86,true,41315,9,2;1;1;100;
16,261,15,91,true,41208,23,7;1;11;100;
16,465,15,91,true,41231,126,1;1;6;7;61;42;100;
16,239,15,91,true,41441,14,4;4;100;
16,391,15,91,true,41242,96,1;2;17;48;20;100;
