CPU_COUNT,TIME_MS,NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
8,328,15,1,false,60074,63,1;1;4;3;2;1;35;4;100;
8,281,15,1,false,65145,104,1;48;20;22;3;100;
8,172,15,1,false,67600,60,5;1;23;24;100;
8,234,15,1,false,64855,110,1;1;2;8;88;100;
8,125,15,1,false,65376,10,2;100;
8,266,15,1,false,66097,145,4;4;19;3;7;3;92;100;
8,203,15,1,false,65835,109,3;3;93;100;
8,250,15,1,false,63809,140,1;1;3;1;1;4;7;14;2;81;6;100;
8,203,15,1,false,63268,90,2;2;2;11;21;42;100;
8,156,15,1,false,64339,42,2;3;10;16;100;
8,219,15,6,false,62711,84,3;1;9;38;1;21;100;
8,266,15,6,false,60263,125,4;2;5;7;96;100;
8,203,15,6,false,60858,68,3;5;1;3;46;100;
8,297,15,6,false,59328,158,2;20;53;70;100;
8,375,15,6,false,59429,227,3;3;35;66;14;6;35;37;13;100;
8,172,15,6,false,60352,50,4;30;6;100;
8,328,15,6,false,62907,177,1;3;3;9;2;62;88;100;
8,203,15,6,false,60256,77,1;18;28;11;4;1;2;100;
8,422,15,6,false,60366,261,1;2;4;52;61;45;26;60;100;
8,359,15,6,false,60379,224,1;1;15;9;9;85;42;51;100;
8,219,15,11,false,60692,65,1;1;8;3;1;37;100;
8,250,15,11,false,60539,100,1;7;5;2;8;20;17;3;7;13;100;
8,281,15,11,false,59068,127,4;8;13;28;6;2;35;16;100;
8,235,15,11,false,61421,93,5;7;6;27;33;100;
8,297,15,11,false,60129,132,1;1;1;3;10;2;5;17;20;29;27;100;
8,187,15,11,false,60590,55,1;1;3;40;100;
8,266,15,11,false,58162,103,1;2;1;8;78;100;
8,187,15,11,false,60119,58,1;5;3;23;14;100;
8,235,15,11,false,61038,87,1;1;2;1;16;10;36;7;100;
8,468,15,11,false,57446,289,1;23;13;72;14;6;6;33;7;13;83;100;
8,313,15,16,false,59963,151,1;48;80;8;100;
8,375,15,16,false,59389,196,1;5;1;17;47;67;8;35;100;
8,250,15,16,false,59450,106,1;2;76;10;9;100;
8,187,15,16,false,60908,48,15;10;9;2;100;
8,172,15,16,false,60844,34,1;1;2;21;100;
8,313,15,16,false,58589,163,1;1;4;15;99;9;21;100;
8,297,15,16,false,58408,138,1;1;90;36;100;
8,265,15,16,false,62437,114,1;1;2;3;5;7;4;81;100;
8,282,15,16,false,59676,137,1;1;90;5;7;21;100;
8,406,15,16,false,59262,228,2;1;17;44;33;37;65;4;5;4;100;
8,203,15,21,false,62772,50,3;7;29;100;
8,406,15,21,false,58805,218,1;6;71;9;25;8;56;28;100;
8,282,15,21,false,60453,115,1;2;8;86;7;100;
8,297,15,21,false,60125,134,1;1;27;12;56;17;1;4;100;
8,312,15,21,false,60118,145,1;1;2;14;11;4;1;96;100;
8,516,15,21,false,59036,298,1;2;1;13;46;86;46;89;100;
8,250,15,21,false,58963,96,1;17;8;13;23;18;100;
8,234,15,21,false,59201,72,1;12;15;1;2;28;100;
8,250,15,21,false,60049,98,1;3;44;22;16;100;
8,438,15,21,false,58814,236,1;2;10;1;24;16;11;90;66;100;
8,265,15,26,false,61339,90,5;7;4;30;32;100;
8,235,15,26,false,60886,78,8;62;100;
8,218,15,26,false,61036,55,1;40;4;100;
8,313,15,26,false,61319,126,3;18;14;75;2;1;100;
8,156,15,26,false,61781,7,100;
8,281,15,26,false,58236,118,1;1;5;47;9;18;20;2;100;
8,329,15,26,false,61817,135,1;87;7;30;100;
8,437,15,26,false,59533,226,1;2;4;72;43;88;1;100;
8,219,15,26,false,61609,65,2;1;13;38;2;100;
8,500,15,26,false,59070,263,1;1;8;3;4;9;68;89;64;100;
8,391,15,31,false,58168,186,1;2;2;34;7;6;18;48;44;6;100;
8,171,15,31,false,61824,16,1;2;1;2;100;
