CPU_COUNT,TIME_MS,NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
8,203,15,1,true,53238,34,3;1;9;8;6;100;
8,188,15,1,true,54457,78,1;3;1;13;4;7;41;100;
8,156,15,1,true,53615,46,2;1;38;100;
8,250,15,1,true,53753,102,10;21;67;100;
8,203,15,1,true,54056,77,2;3;10;56;100;
8,156,15,1,true,53844,41,1;2;2;4;24;100;
8,141,15,1,true,53778,24,2;15;100;
8,141,15,1,true,53667,27,4;18;100;
8,172,15,1,true,53490,61,2;5;13;6;27;100;
8,250,15,1,true,53807,141,6;11;10;83;23;100;
8,250,15,6,true,53604,111,5;47;54;100;
8,140,15,6,true,53405,8,5;100;
8,156,15,6,true,54065,31,1;3;2;19;100;
8,157,15,6,true,53449,20,1;15;100;
8,203,15,6,true,52948,72,3;2;1;4;56;100;
8,141,15,6,true,54190,11,1;4;100;
8,250,15,6,true,53206,109,8;65;27;100;
8,218,15,6,true,53921,80,7;64;2;100;
8,125,15,6,true,53714,6,3;100;
8,141,15,6,true,53871,14,2;2;2;3;100;
8,172,15,11,true,53812,26,1;5;1;1;10;100;
8,265,15,11,true,53802,97,1;1;11;62;12;100;
8,204,15,11,true,53812,62,2;4;1;10;34;100;
8,203,15,11,true,53828,50,1;4;1;8;27;100;
8,172,15,11,true,53768,31,6;19;100;
8,172,15,11,true,53618,28,1;4;2;4;11;100;
8,218,15,11,true,53454,63,2;4;1;23;24;100;
8,188,15,11,true,53606,45,1;1;1;1;10;22;100;
8,219,15,11,true,53391,55,1;1;1;28;17;100;
8,140,15,11,true,53778,6,2;100;
8,250,15,16,true,53507,83,4;3;11;59;100;
8,219,15,16,true,53703,66,1;9;50;100;
8,172,15,16,true,53564,16,6;1;3;100;
8,203,15,16,true,53819,42,2;5;4;24;100;
8,219,15,16,true,53686,62,1;2;18;33;100;
8,219,15,16,true,53625,62,5;6;2;42;100;
8,359,15,16,true,53470,165,5;1;43;61;46;100;
8,203,15,16,true,53332,49,1;2;4;3;14;17;100;
8,266,15,16,true,53600,99,1;5;13;72;100;
8,172,15,16,true,53257,20,5;2;9;100;
8,250,15,21,true,53433,64,1;4;2;1;7;41;100;
8,203,15,21,true,53815,41,2;3;25;2;100;
8,281,15,21,true,53568,96,1;1;2;40;45;100;
8,156,15,21,true,53432,6,1;100;
8,344,15,21,true,53571,132,1;5;2;4;33;80;100;
8,297,15,21,true,53560,107,2;3;15;3;77;100;
8,187,15,21,true,53668,29,2;2;21;100;
8,172,15,21,true,53849,13,2;1;4;100;
8,266,15,21,true,53644,85,1;15;23;40;100;
8,219,15,21,true,53585,53,1;3;2;6;8;23;100;
8,187,15,26,true,53462,14,8;100;
8,188,15,26,true,53782,18,2;5;5;100;
8,219,15,26,true,53516,38,10;1;23;100;
8,250,15,26,true,53329,66,1;24;35;100;
8,265,15,26,true,53569,70,1;2;5;1;5;34;13;100;
8,328,15,26,true,53355,119,1;1;6;8;97;100;
8,250,15,26,true,53157,50,1;1;2;5;15;16;100;
8,313,15,26,true,53446,109,1;3;3;1;6;2;54;29;100;
8,187,15,26,true,53226,21,1;1;14;100;
8,250,15,26,true,53446,57,1;1;2;2;30;6;3;100;
8,188,15,31,true,53709,16,4;8;100;
8,359,15,31,true,53049,131,3;51;27;30;10;100;
8,313,15,31,true,53410,93,1;87;100;
8,312,15,31,true,53388,98,1;2;13;72;100;
8,250,15,31,true,53726,47,7;4;4;18;5;100;
8,172,15,31,true,53430,8,4;100;
8,391,15,31,true,53164,151,1;1;17;53;6;65;100;
8,203,15,31,true,53439,24,4;2;7;4;100;
8,188,15,31,true,53608,15,1;2;8;100;
8,359,15,31,true,53635,122,1;1;42;71;100;
8,672,15,36,true,53543,296,5;1;67;81;50;84;100;
8,250,15,36,true,53466,36,1;1;14;15;100;
8,297,15,36,true,53181,73,1;11;26;27;100;
8,250,15,36,true,53490,42,1;10;27;100;
